0,ok. i'll be productive so i can get to the beach for some needed VITAMIN D. bedtime @ 8pm
-1,@SweetIsa damn. that sucks
-1,"@fido_and_wino Unfortunately due to wine shipping laws, it is not I'm sorry."
-1,@Chriish What the hell happened? How did you get wrecked by a hi-hat stand?
0,Hopes that no more weird dreams tonight. Have to get up early tomorrow!
0,"Walrus, I have your bukkit. I don't think that you'll want it anymore"
0,@baddestjuju oh ok...im jus relaxin til itz tyme 4 werk...seem like a nice day 2 jus Gmack wish i didnt have 2 go
0,@tommcfly Did you know they're moving the Sylvia Young building next term? No more memories x x
0,"gunna go out now for my cousins birthday, but would rather be with Nadine"
1,"Cooked breakfast, cleaned dishes, did laundry, cleaned house. Now got to cut grass"
-2,is at work uggh gonna be here til 10 some one save meeeeeeee!
0,"After sleeping continuously for about 24 hours, it feels like my cold might be getting better...work in 4 hours will be rough."
-1,woke up tired. i need a smoke
0,"@mrtrev Hello!! Happy weekend to you! thanks for the update, must be a tweetdeck thing..."
0,Why does noone care about Taylor?? its all Robert Pattenson this and Robert Pattenson that. I don't even like Rob while Taylor is my hero
-2,Almost out of AAA I hate my job
0,stuk at home wid the rainn
0,"hum.. Thinks i need to clean my room, badly and reread 'hes just not that into you' wat a lovely sat lol"
0,@Tyrese4ReaL it won't let me download it!
-1,Ripping copies of SCORE Season 1 for my relatives in San Jose... Parents leaving tmrw morning. I wished I was going
0,Stopping to get food and a floatie for brodie and then on the way to raging waters in san dimas!! Woo! I'm so tired haha
0,@mimihata same!! arrgh i used to be ok at revising..
0,A teddy bear hit my mouth
0,Even IBM uses the JEE moniker It's &quot;JavaEE&quot; folks. You're all so lazy! ;)
-2,"Boss is now ignoring me wont answer any of my calls, slightly annoying seeing as he has my driving license"
0,"installed macdrive to have access to HFS disk in bootcamp. Result: can't boot into Leopard anymore, mbp hangs at blue screen before login"
0,@kingdomfaraway I want to meet a Ianto
0,is limping to her spa appointment with a twisted ankle http://plurk.com/p/yx1g8
0,Friends here now. Bye Twitter real world people win. For once. Alas.
0,Will be logging off really soon. I need to exercise. Flabs around arm areas getting worse.
0,says i'm so bored larhh !
0,Drumming is too tiring .. I may quit and switch to a harp?
